autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"LOPES, Elaine Cristina","VALENTIM, Marta Lígia Pomim","OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Datagramazero (Rio de Janeiro),2013
"LOPES, Elaine Cristina","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Perspectivas em Gestao & Conhecimiento,2013
"LOUSADA, Mariana","ALMEIDA JÚNIOR, Oswaldo Francisco de","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,Revista EDICIC,2011
"LOUSADA, Mariana  ","GARCIA, Cristiane Luiza Salazar","WOIDA, Luana Maia","DAL´EVEDOVE, Paula Regina","GARCIA, Regis","VALENTIM, Marta Lígia Pomim",,,,,,,,Anales de Documentación (Internet),2012
"LOUSADA, Mariana","LOPES, Elaine Cristina","FUJITA, Mariângela Spotti Lopes","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Informação & Sociedade (UFPB. Online),2011
"LOUSADA, Mariana","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2012
"LOUSADA, Mariana","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2011
"MADIO, Telma Campanha de Carvalho","ELLIOTT, Ariluci Goes",,,,,,,,,,,,Ibersid (Zaragoza),2013
"MADIO, Telma Campanha de Carvalho","SILVA, Luiz Antônio Santana da",,,,,,,,,,,,Revista da Pesquisa & Pós-Graduação,2011
"MADIO, Telma Campanha de Carvalho","VIANA, Gilberto Fladimar Rodrigues",,,,,,,,,,,,Ibersid (Zaragoza),2013
"MADIO, Telma Campanha de Carvalho  ","VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,,,,Labor & Engenho,2015
"MARTÍNEZ-ÁVILA, Daniel","GUIMARÃES, José Augusto Chaves",,,,,,,,,,,,Scire (Zaragoza),2013
"MARTÍNEZ-ÁVILA, Daniel","GUIMARÃES, José Augusto Chaves","PINHO, Fabio Assis","FOX, Melodie",,,,,,,,,,Knowledge Organization,2015
"MARTÍNEZ-ÁVILA, Daniel","KIPP, Margaret E. I.","OLSON, Hope A.",,,,,,,,,,,Knowledge Organization,2012
"MARTÍNEZ-ÁVILA, Daniel","KIPP, Margaret E. I.",,,,,,,,,,,,Knowledge Organization,2014
"MARTÍNEZ-ÁVILA, Daniel","KIPP, Margaret E. I.","OLSON, Hope A.",,,,,,,,,,,Knowledge Organization,2012
"MARTÍNEZ-ÁVILA, Daniel","SAN SEGUNDO, Rosa","OLSON, Hope A.",,,,,,,,,,,Cataloging & Classification Quarterly,2014
"MARTÍNEZ-ÁVILA, Daniel","SAN SEGUNDO, Rosa","ZURIAN HERNANDEZ, Adelino Francisco",,,,,,,,,,,Revista Española de Documentación Científica,2014
"MARTÍNEZ-ÁVILA, Daniel","SAN SEGUNDO, Rosa",,,,,,,,,,,,Knowledge Organization,2013
"MARTÍNEZ-ÁVILA, Daniel","SILVA, Marcio Ferreira da","MAGRO, José Luís",,,,,,,,,,,Scire (Zaragoza),2015
"MARTÍNEZ-ÁVILA, Daniel","SMIRAGLIA, Richard","LEE, Hur-Li","FOX, Melodie",,,,,,,,,,Journal of Documentation,2015
"MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,,,,,Crítica bibliotecológica: Revista de las ciencias de la información documental,2013
"MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,,,,,Knowledge Organization,2015
"MARTINS, Rúbia","ALMEIDA, Carlos Cândido",,,,,,,,,,,,Ibersid (Zaragoza),2012
"MARTINS, Rúbia",,,,,,,,,,,,,Aurora (UNESP. Marília),2014
"MATA, Marta Leandro da","CASARIN, Helen de Castro Silva",,,,,,,,,,,,Revista EDICIC,2011
"MATA, Marta Leandro da","CASARIN, Helen de Castro Silva","CASSARO, Fernanda",,,,,,,,,,,Informação@Profissões,2014
"MELO, Janaina França de","JORENTE, Maria José Vicentini",,,,,,,,,,,,Revista Biblioo,2013
"MENDES, Auro Aparecido","FUJITA, Mariângela Spotti Lopes","BORGES, Ana Claudia Giannini","CARVALHO, Ana Maria Rodrigues de","BRANCALEONI, Ana Paula Leivar","LEAL, Antonio Cezar","LADEIA, Carlos Rodrigues","DAVID, Célia Maria","SILVA, Hilda Maria Gonçalves da","SOUZA, Juliana Soares de","OKIMOTO, Fernando Sérgio","TEIXEIRA, Silvio Rainho","CABRAL, Raquel",Revista Ciência em Extensão,2014
"MILANI, Suellen Oliveira","GUIMARÃES, José Augusto Chaves",,,,,,,,,,,,Datagramazero (Rio de Janeiro),2011
"MODESTO, Lisandro Rogério","FERNEDA, Edberto",,,,,,,,,,,,Brazilian Journal of Information Science,2014
"MOLINA, Letícia Gorri","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Perspectivas em Gestao & Conhecimiento,2015
"MOLINA, Letícia Gorri","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Revista EDICIC,2011
"MOLINA, Letícia Gorri","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Revista Ibero-Americana de Ciência da Informação,2014
"MORAES, João Batista Ernesto de","CÂNDIDO, Gilberto Gomes","LIMA, Larissa de Mello",,,,,,,,,,,Scire (Zaragoza),2013
"MORAES, João Batista Ernesto de",,,,,,,,,,,,,Scire (Zaragoza),2012
"MOREIRA, Fábio Mosso","VIDOTTI, Silvana Aparecida Borsetti Gregorio","SANT'ANA, Ricardo Cesar Gonçalves","SANTAREM SEGUNDO, Jose Eduardo",,,,,,,,,,Em Questão,2015
"MOREIRA, Walter","LARA, Marilda Lopes Ginez de",,,,,,,,,,,,Datagramazero (Rio de Janeiro),2012
"MOREIRA, Walter","SANTOS NETO, Martins Fideles dos",,,,,,,,,,,,Scire (Zaragoza),2014
"MOREIRA, Walter",,,,,,,,,,,,,Scire (Zaragoza),2012
"MOREIRA, Walter",,,,,,,,,,,,,Scire (Zaragoza),2013
"NAKANO, Natalia","JORENTE, Maria José Vicentini",,,,,,,,,,,,Informação & Informação (UEL. Online),2014
