Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"FUJINO, Asa",,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2011
"FUJINO, Asa ","VALENTE, Nelma Terezinha Zubek",,,,,,Congresso ANPCONT,2012
"FUJINO, Asa ","SILVA, Adaci Aparecida Oliveira Rosa da",,,,,,Seminário Internacional Juventudes e a Nova Cultura do Trabalho,2014
"FUJINO, Asa","SILVA, Adaci Aparecida Oliveira Rosa da",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2013
"FUJINO, Asa","SANTOS, Marcelo dos",,,,,,"Colóquio Internacional ""A medicina na era da informação"" (MEDINFOR)",2011
"FUJINO, Asa","PEREIRA, César Antônio","MARICATO, João de Melo",,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2012
"FRANCELIN, Marivalde Moacir",,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"FRANCELIN, Marivalde Moacir",,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2013
"FRANCELIN, Marivalde Moacir ",,,,,,,Seminários de Pesquisa FESPSP,2015
"FRANCELIN, Marivalde Moacir ","KOBASHI, Nair Yumiko",,,,,,Congreso Capítulo Español de ISKO,2011
"FERREIRA, Sarah Lorenzon","SANTOS, Marcelo dos",,THAÍS DE BIASI,,,,Encontro Internacional de Catalogadores e Encontro Nacional de Catalogadores,2013
"FERREIRA, Sarah Lorenzon","SANTOS, Marcelo dos",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2014
"FERREIRA, Sarah Lorenzon","SANTOS, Marcelo dos",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2013
"FERREIRA, Sarah Lorenzon","SANTOS, Marcelo dos",,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2014
"FERREIRA JUNIOR, Arnaldo Alves","SANTOS, Marcelo dos",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"FAUSTO, Sibele Silva de","MUGNAINI, Rogério",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2013
"DOMINGUES, Marcia Beatriz Pereira","ALMEIDA JUNIOR, Jorge Rady","PALETTA, Francisco Carlos",,,,,International Conference on Information Systems and Technology Management (CONTECSI),2014
"DIGIAMPIETRI, Luciano Antonio ","MUGNAINI, Rogério","ALVES, Caio Margutti",,,,,Congresso da Sociedade Brasileira de Computação (CSBC),2013
"DIGIAMPIETRI, Luciano Antonio ","MENA-CHALCO, Jesus","PEREZ-ALCAZAR, José de Jesús","TUESTA, Esteban Fernandez","DELGADO, Karina Valdivia","MUGNAINI, Rogério","SILVA, Gabriela S.",Brazilian Workshop on Social Network Analysis and Mining (BraSNAM),2012
"DIGIAMPIETRI, Luciano Antonio ","ALVES, Caio Margutti","TRUCOLO, Caio Cesar","DELGADO, Karina Valdivia","MUGNAINI, Rogério",,,Congresso da Sociedade Brasileira de Computação (CSBC),2014
