idPeriodico,nome,avaliacao,webqualis,classificacao
364,Pesquisas em Discurso Pedagógico (Online),Ensino,B2,Nacional
96,Política & Sociedade (Impresso),Interdisciplinar,B2,Nacional
270,Ponto.Urbe (USP),Interdisciplinar,B2,Nacional
220,Principia (Florianópolis. Online),Ensino,B2,Nacional
331,Psicologia Argumento (PUCPR. Impresso),Interdisciplinar,B2,Nacional
285,RAI : Revista de Administração e Inovação,Ciência da computação,B2,Nacional
314,Raído (UFGD),História,B2,Nacional
147,REAd. Revista Eletrônica de Administração (Porto Alegre. Online),Interdisciplinar,B2,Nacional
18,Revista ACB (Florianópolis),Comunicação e Informação,B2,Nacional
152,Revista Brasileira de História da Educação,Comunicação e Informação,B2,Nacional
115,Revista Brasileira de Informática na Educação,Interdisciplinar,B2,Nacional
184,Revista da Escola de Enfermagem da USP (Impresso),Interdisciplinar,B2,Nacional
355,Revista de administração da Unimep,Interdisciplinar,B2,Nacional
370,Revista de Ciências Humanas,Interdisciplinar,B2,Nacional
281,Revista de Gestão da Tecnologia e Sistemas de Informação (Online),Comunicação e Informação,B2,Nacional
98,Revista Diálogo Educacional (PUCPR. Impresso),Interdisciplinar,B2,Nacional
348,Revista do GEL,Letras e Linguística ,B2,Nacional
374,Revista Educaonline,Ensino,B2,Nacional
22,REVISTA GEMInIS,Comunicação e Informação,B2,Nacional
93,Revista HISTEDBR On-line,Comunicação e Informação,B2,Nacional
124,Revista Ibero-Americana de Estudos em Educação,Comunicação e Informação,B2,Nacional
316,Signo (UNISC. Online),Interdisciplinar,B2,Nacional
350,Signotica (UFG),Interdisciplinar,B2,Nacional
346,Tempo Psicanalítico,Interdisciplinar,B2,Nacional
303,Texto Digital (UERJ),Letras e Linguística ,B2,Nacional
342,Todas as Letras (São Paulo),Letras e Linguística ,B2,Nacional
386,Verso e Reverso (UNISINOS. Online),Comunicação e Informação,B2,Nacional
149,Gestão & Produção,Comunicação e Informação,B2,Nacional
381,Revista do GEL (Araraquara),Letras e Linguística ,B2,Nacional
32,Acervo (Rio de Janeiro),Comunicação e Informação,B2,Nacional
222,AIDAinformazioni: revista semestrale di sicenza della´informazione,Comunicação e Informação,B3,Internacional
163,Área Abierta,Comunicação e Informação,B3,Internacional
231,Business Management Review (BMR),Comunicação e Informação,B3,Internacional
23,"Comunicación - Revista Internacional de Comunicación Audiovisual, Publicidad y Literatura",Comunicação e Informação,B3,Internacional
384,Espéculo (Madrid),Interdisciplinar,B3,Internacional
267,"Información, Cultura y Sociedad",Interdisciplinar,B3,Internacional
258,International Journal of Finance and Accounting,Economia,B3,Internacional
259,Journal of Community Informatics,Interdisciplinar,B3,Internacional
109,Journal of Responsible Innovation,Interdisciplinar,B3,Internacional
39,Journal of Technology Management & Innovation,Comunicação e Informação,B3,Internacional
293,Mediadoc,Comunicação e Informação,B3,Internacional
371,Arquivos do CMD,Comunicação e Informação,B3,Nacional
181,Biblioteca Escolar em Revista,Comunicação e Informação,B3,Nacional
226,Biblos (Rio Grande),Comunicação e Informação,B3,Nacional
81,Cadernos de Ciência & Tecnologia,Interdisciplinar,B3,Nacional
233,Cadernos de Educação (UMESP),Ensino,B3,Nacional
352,Cadernos de Estudos Linguísticos (UNICAMP),Comunicação e Informação,B3,Nacional
304,Cadernos de Pesquisa Interdisciplinar em Ciências Humanas (Online),Comunicação e Informação,B3,Nacional
92,Comunicologia (Brasília),Comunicação e Informação,B3,Nacional
79,Datagramazero (Rio de Janeiro),Comunicação e Informação,B3,Nacional
157,Diálogos & Ciência (Online),Interdisciplinar,B3,Nacional
105,Distúrbios da Comunicação,Ensino,B3,Nacional
48,Emancipação (UEPG. Impresso),Interdisciplinar,B3,Nacional
70,"GEPROS. Gestão da Produção, Operações e Sistemas (Online)",Interdisciplinar,B3,Nacional
202,Iris (Grenoble),Comunicação e Informação,B3,Nacional
351,Leitura. Teoria & Prática,Interdisciplinar,B3,Nacional
323,Letras (UFSM),Comunicação e Informação,B3,Nacional
324,Polifonia,Interdisciplinar,B3,Nacional
294,Políticas Clturais em Revista,Comunicação e Informação,B3,Nacional
30,Psicopedagogia (São Paulo),Interdisciplinar,B3,Nacional
91,Quaestio: Revista de Estudos de Educação,Comunicação e Informação,B3,Nacional
123,RBPG. Revista Brasileira de Pós-Graduação,Comunicação e Informação,B3,Nacional
29,REDD - Revista Espaço de Diálogo e Desconexão,Interdisciplinar,B3,Nacional
359,REGE: Revista de Gestão USP,Interdisciplinar,B3,Nacional
160,Resgate (UNICAMP),Interdisciplinar,B3,Nacional
66,Revista Brasileira de Educação Especial,Comunicação e Informação,B3,Nacional
